"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+9.60000000000E+008, -7.43719883896E+001, +0.00000000000E+000
+9.80505050505E+008, -7.42438224299E+001, +0.00000000000E+000
+1.00101010101E+009, -7.35229452618E+001, +0.00000000000E+000
+1.02151515152E+009, -7.68193702884E+001, +0.00000000000E+000
+1.04202020202E+009, -8.41104937097E+001, +0.00000000000E+000
+1.06252525253E+009, -8.13401388844E+001, +0.00000000000E+000
+1.08303030303E+009, -7.72120009384E+001, +0.00000000000E+000
+1.10353535354E+009, -8.63662465945E+001, +0.00000000000E+000
+1.12404040404E+009, -8.12003266720E+001, +0.00000000000E+000
+1.14454545455E+009, -9.35184002384E+001, +0.00000000000E+000
+1.16505050505E+009, -8.40168474416E+001, +0.00000000000E+000
+1.18555555556E+009, -7.88897097612E+001, +0.00000000000E+000
+1.20606060606E+009, -8.49611796879E+001, +0.00000000000E+000
+1.22656565657E+009, -8.12651831882E+001, +0.00000000000E+000
+1.24707070707E+009, -8.57812249086E+001, +0.00000000000E+000
+1.26757575758E+009, -8.44266346513E+001, +0.00000000000E+000
+1.28808080808E+009, -8.24240672920E+001, +0.00000000000E+000
+1.30858585859E+009, -7.91016462252E+001, +0.00000000000E+000
+1.32909090909E+009, -8.09698152513E+001, +0.00000000000E+000
+1.34959595960E+009, -1.08248667796E+002, +0.00000000000E+000
+1.37010101010E+009, -8.40527344377E+001, +0.00000000000E+000
+1.39060606061E+009, -8.12548190796E+001, +0.00000000000E+000
+1.41111111111E+009, -9.43400570258E+001, +0.00000000000E+000
+1.43161616162E+009, -9.00220721407E+001, +0.00000000000E+000
+1.45212121212E+009, -8.14574416694E+001, +0.00000000000E+000
+1.47262626263E+009, -7.55177475885E+001, +0.00000000000E+000
+1.49313131313E+009, -7.93561292715E+001, +0.00000000000E+000
+1.51363636364E+009, -8.44001995169E+001, +0.00000000000E+000
+1.53414141414E+009, -7.59864432277E+001, +0.00000000000E+000
+1.55464646465E+009, -7.20907164438E+001, +0.00000000000E+000
+1.57515151515E+009, -7.63102837595E+001, +0.00000000000E+000
+1.59565656566E+009, -7.34961837618E+001, +0.00000000000E+000
+1.61616161616E+009, -7.23992629680E+001, +0.00000000000E+000
+1.63666666667E+009, -7.14250471581E+001, +0.00000000000E+000
+1.65717171717E+009, -6.64151612118E+001, +0.00000000000E+000
+1.67767676768E+009, -6.53425303854E+001, +0.00000000000E+000
+1.69818181818E+009, -6.12591951485E+001, +0.00000000000E+000
+1.71868686869E+009, -5.85081427907E+001, +0.00000000000E+000
+1.73919191919E+009, -5.45961267914E+001, +0.00000000000E+000
+1.75969696970E+009, -4.90983146333E+001, +0.00000000000E+000
+1.78020202020E+009, -4.28079604702E+001, +0.00000000000E+000
+1.80070707071E+009, -3.37558787549E+001, +0.00000000000E+000
+1.82121212121E+009, -2.31088834965E+001, +0.00000000000E+000
+1.84171717172E+009, -2.50291876760E+001, +0.00000000000E+000
+1.86222222222E+009, -3.76178227964E+001, +0.00000000000E+000
+1.88272727273E+009, -4.47431674702E+001, +0.00000000000E+000
+1.90323232323E+009, -4.94973063337E+001, +0.00000000000E+000
+1.92373737374E+009, -5.32556539604E+001, +0.00000000000E+000
+1.94424242424E+009, -5.64204818597E+001, +0.00000000000E+000
+1.96474747475E+009, -5.94130714823E+001, +0.00000000000E+000
+1.98525252525E+009, -6.21046542221E+001, +0.00000000000E+000
+2.00575757576E+009, -6.46240313824E+001, +0.00000000000E+000
+2.02626262626E+009, -6.49488857424E+001, +0.00000000000E+000
+2.04676767677E+009, -6.61175031387E+001, +0.00000000000E+000
+2.06727272727E+009, -6.81641347775E+001, +0.00000000000E+000
+2.08777777778E+009, -7.04975896966E+001, +0.00000000000E+000
+2.10828282828E+009, -7.06182690263E+001, +0.00000000000E+000
+2.12878787879E+009, -6.82556002959E+001, +0.00000000000E+000
+2.14929292929E+009, -7.04600431451E+001, +0.00000000000E+000
+2.16979797980E+009, -7.03949366221E+001, +0.00000000000E+000
+2.19030303030E+009, -7.32019608610E+001, +0.00000000000E+000
+2.21080808081E+009, -7.22092753159E+001, +0.00000000000E+000
+2.23131313131E+009, -7.60433003577E+001, +0.00000000000E+000
+2.25181818182E+009, -7.29160482744E+001, +0.00000000000E+000
